config,params,n_seeds,met_pt_res_mean,met_pt_res_std,met_x_res_mean,met_x_res_std,met_y_res_mean,met_y_res_std,mean_response_mean,mean_response_std,phi_res_mean,phi_res_std,auc_mean,auc_std
deepmet_emb_w64_d3,10083,3,44.4595,0.1828,42.8564,0.4223,42.8502,0.3744,1.0417,0.0109,1.1669,0.0034,0.9742,0.0008
deepmet_emb_w32_d3,3011,3,44.4225,0.1772,57.6900,20.8918,57.8523,21.1659,1.0422,0.0098,1.7150,0.7773,0.9742,0.0014
wm1_noemb_w64_d3,9537,3,44.7318,1.2821,42.5599,0.0929,42.5789,0.1537,1.0164,0.0158,1.1666,0.0020,0.9752,0.0012
wm1_bias_noemb_w64_d3,9667,3,44.2296,0.1282,57.0388,20.9477,57.1509,20.9966,1.0230,0.0058,1.7167,0.7787,0.9736,0.0005
broken_noemb_w64_d3,9537,3,46.8967,0.5674,59.4666,21.0264,59.4559,21.5072,1.0107,0.0215,1.7307,0.7664,0.9744,0.0018
