cell,n_train,variant,seed,epochs,wall_s,train_loss_final,val_loss_final,test_mae_xy,test_mse_xy,test_bias_x,test_bias_y,test_iqr2_x,test_iqr2_y,test_met_pt_iqr2,mae_0_50,n_0_50,mae_50_100,n_50_100,mae_100_200,n_100_200,mae_200_300,n_200_300,mae_300_400,n_300_400,mae_400_inf,n_400_inf
n2000_baseline_seed123,2000,baseline,123,50,52.65373158454895,0.1898093968629837,0.20250411331653595,19.87384033203125,903.8839111328125,-1.7643071413040161,2.7064666748046875,12.201000213623047,11.976895332336426,18.12609040737152,12.348001480102539,667,33.37185287475586,148,47.11199951171875,91,66.0075912475586,7,93.3467025756836,3,,0
n2000_baseline_seed42,2000,baseline,42,50,52.80915665626526,0.19347217679023743,0.2027139812707901,19.88981056213379,897.0744018554688,0.3670788109302521,1.8937705755233765,12.656837821006775,12.592512845993042,18.382311463356018,12.42021369934082,667,32.978904724121094,148,47.232852935791016,91,66.31160736083984,7,97.17850494384766,3,,0
n2000_baseline_seed456,2000,baseline,456,50,52.854626178741455,0.18721334636211395,0.20196673274040222,20.002845764160156,861.2023315429688,0.4694638252258301,-3.282938241958618,13.022138595581055,12.75677227973938,18.338670015335083,13.46198844909668,667,32.005523681640625,148,43.277706146240234,91,58.17444610595703,7,87.05032348632812,3,,0
n2000_extended_seed123,2000,extended,123,50,52.59485864639282,0.16107994318008423,0.2008921205997467,20.387020111083984,953.1720581054688,-1.585077166557312,1.769601821899414,11.92452085018158,11.943633675575256,18.144632816314697,12.76746654510498,667,34.690269470214844,148,47.964935302734375,91,62.38112258911133,7,74.32427215576172,3,,0
n2000_extended_seed42,2000,extended,42,50,52.05093574523926,0.16200311481952667,0.20736663043498993,20.090261459350586,871.6674194335938,-0.04559282958507538,-2.378709077835083,12.648234605789185,13.603199481964111,17.96882402896881,13.616074562072754,667,33.4166374206543,148,42.14389419555664,91,48.92699432373047,7,65.83737182617188,3,,0
n2000_extended_seed456,2000,extended,456,50,53.50957202911377,0.15823449194431305,0.2050984799861908,20.437055587768555,925.6184692382812,-0.39703088998794556,-1.14336097240448,12.544454097747803,12.239192485809326,17.262141227722168,13.87551212310791,667,33.05794143676758,148,43.096275329589844,91,65.39130401611328,7,64.43396759033203,3,,0
n4000_baseline_seed123,4000,baseline,123,50,85.23235273361206,0.1971738636493683,0.19593742489814758,19.62929916381836,841.5264892578125,0.23984050750732422,0.043312739580869675,12.715162992477417,12.277226448059082,17.346980214118958,12.990043640136719,667,32.07636260986328,148,43.31092834472656,91,53.1701545715332,7,85.09716033935547,3,,0
n4000_baseline_seed42,4000,baseline,42,50,84.67569947242737,0.19322989881038666,0.19719259440898895,19.709665298461914,865.4421997070312,-0.01847534440457821,-1.4740474224090576,12.365886807441711,12.3480726480484,18.294933199882507,12.650150299072266,667,32.337852478027344,148,45.11515808105469,91,62.6998176574707,7,95.34061431884766,3,,0
n4000_baseline_seed456,4000,baseline,456,50,84.73912858963013,0.19677962362766266,0.19776929914951324,19.783565521240234,848.0431518554688,-0.4246309697628021,-0.3815532624721527,13.187896609306335,12.558775424957275,17.569847583770752,13.602314949035645,667,31.59058952331543,148,41.07971954345703,91,55.283321380615234,7,82.78605651855469,3,,0
n4000_extended_seed123,4000,extended,123,50,87.19965291023254,0.17375098168849945,0.20392638444900513,20.180580139160156,974.2093505859375,0.003561994293704629,2.808790445327759,11.364322662353516,11.65374493598938,17.41893756389618,12.67119026184082,667,33.78008270263672,148,47.40645980834961,91,66.09246826171875,7,85.8804931640625,3,,0
n4000_extended_seed42,4000,extended,42,50,92.398362159729,0.1697068214416504,0.19806376099586487,19.775245666503906,877.6846313476562,0.2045082300901413,-1.3050353527069092,12.510308265686035,12.85804295539856,17.025172472000122,13.751412391662598,667,32.05072784423828,148,39.85505676269531,91,55.03853225708008,7,62.11555862426758,3,,0
n4000_extended_seed456,4000,extended,456,50,88.84342837333679,0.17201898992061615,0.1996254026889801,20.202678680419922,926.3707885742188,-0.1997796595096588,-1.557852029800415,11.629111766815186,12.425866723060608,17.95554757118225,13.352641105651855,667,31.72484016418457,148,45.82234191894531,91,72.75657653808594,7,75.0123062133789,3,,0
n400_baseline_seed123,400,baseline,123,50,24.90489673614502,0.1758555918931961,0.21145449578762054,20.74825096130371,946.4637451171875,-1.2316749095916748,-0.2293294072151184,13.863990664482117,13.110565900802612,17.605486631393433,14.363603591918945,667,32.30996322631836,148,42.877140045166016,91,67.21965026855469,7,90.21469116210938,3,,0
n400_baseline_seed42,400,baseline,42,50,24.596617460250854,0.17537954449653625,0.2066773623228073,20.46781349182129,945.4374389648438,1.2898510694503784,0.8537383079528809,13.016714215278625,11.7531019449234,19.752848863601685,12.395658493041992,667,33.960289001464844,148,51.29963302612305,91,73.41993713378906,7,90.76180267333984,3,,0
n400_baseline_seed456,400,baseline,456,50,25.608195304870605,0.179695725440979,0.20787233114242554,20.322195053100586,897.82373046875,-0.7787287831306458,2.1843326091766357,13.682843327522278,12.698669910430908,17.60054624080658,13.62347412109375,667,32.68687438964844,148,43.75333023071289,91,63.8307991027832,7,87.41573333740234,3,,0
n400_extended_seed123,400,extended,123,50,24.398635149002075,0.1371060311794281,0.20773263275623322,20.812990188598633,958.7401733398438,-1.3760899305343628,-2.4249627590179443,13.503074884414673,13.492743968963623,17.616966366767883,14.408674240112305,667,32.63283157348633,148,42.655006408691406,91,73.9584732055664,7,75.04581451416016,3,,0
n400_extended_seed42,400,extended,42,50,25.786338329315186,0.13055668771266937,0.2162756472826004,21.035778045654297,998.102294921875,0.5483500957489014,-0.7749055624008179,13.391833782196045,11.987778782844543,18.634358882904053,13.936562538146973,667,34.46995544433594,148,45.144073486328125,91,67.68495178222656,7,96.54218292236328,3,,0
n400_extended_seed456,400,extended,456,50,25.157585382461548,0.1411058008670807,0.21194899082183838,21.20748519897461,967.7216796875,-0.9882615208625793,2.052044630050659,13.66097354888916,14.808866500854492,18.023056507110596,14.507733345031738,667,34.2678337097168,148,43.86437225341797,91,59.16294479370117,7,90.6536636352539,3,,0
n8000_baseline_seed123,7328,baseline,123,50,145.33655428886414,0.19649657607078552,0.19593937695026398,19.58199691772461,844.96044921875,-0.2915923297405243,-0.7036176323890686,12.574598670005798,12.60719609260559,17.94726586341858,12.755282402038574,667,32.08325958251953,148,43.88512420654297,91,57.7997932434082,7,94.28925323486328,3,,0
n8000_baseline_seed42,7328,baseline,42,50,144.15296745300293,0.1963120549917221,0.19645194709300995,19.528417587280273,838.4049072265625,-0.390103816986084,0.6554473042488098,12.38295590877533,12.108837127685547,17.372605323791504,12.929482460021973,667,31.83280372619629,148,42.78145217895508,91,58.53960037231445,7,83.30810546875,3,,0
n8000_baseline_seed456,7328,baseline,456,50,149.66469502449036,0.1962837129831314,0.19682706892490387,19.453798294067383,833.552490234375,-0.8738584518432617,0.9816545844078064,12.699543237686157,11.893205881118774,17.264233708381653,12.927408218383789,667,31.674850463867188,148,42.57988357543945,91,55.057743072509766,7,83.01626586914062,3,,0
n8000_extended_seed123,7328,extended,123,50,142.90735983848572,0.17892229557037354,0.19580666720867157,19.531450271606445,865.5809326171875,-0.926819920539856,-0.13188067078590393,11.869451999664307,12.388145327568054,17.944425344467163,12.726469039916992,667,32.38753128051758,148,43.566707611083984,91,57.484012603759766,7,80.6472396850586,3,,0
n8000_extended_seed42,7328,extended,42,50,143.37445759773254,0.1770951896905899,0.19735902547836304,19.639690399169922,859.0455932617188,0.08485081046819687,0.5640488266944885,12.894779682159424,12.724698424339294,16.357293128967285,13.750626564025879,667,31.05712890625,148,39.78474044799805,91,56.80678939819336,7,67.92459106445312,3,,0
n8000_extended_seed456,7328,extended,456,50,143.3550329208374,0.17914648354053497,0.19739049673080444,19.62111473083496,872.0654296875,-0.42992550134658813,0.5306613445281982,12.200055003166199,11.959446787834167,17.06414544582367,12.696296691894531,667,32.527976989746094,148,44.03962707519531,91,62.596187591552734,7,81.5300521850586,3,,0
n800_baseline_seed123,800,baseline,123,50,35.59178924560547,0.1985030174255371,0.20192652940750122,20.256242752075195,907.5446166992188,-2.6278176307678223,-3.1343753337860107,12.820896625518799,11.946430563926697,18.12848138809204,13.25045394897461,667,32.922889709472656,148,45.637813568115234,91,52.89497756958008,7,106.9238052368164,3,,0
n800_baseline_seed42,800,baseline,42,50,33.853639125823975,0.19124417006969452,0.2086576372385025,20.519182205200195,931.6494140625,-1.5586947202682495,-1.1993937492370605,13.021798849105835,12.879971981048584,18.11735475063324,13.925540924072266,667,32.45842361450195,148,43.29425811767578,91,66.27961730957031,7,99.8842544555664,3,,0
n800_baseline_seed456,800,baseline,456,50,32.35861277580261,0.18026183545589447,0.20920252799987793,20.649263381958008,995.5994873046875,-1.7719029188156128,-2.3309779167175293,12.166951179504395,12.36726999282837,18.37709879875183,12.713150978088379,667,33.77178192138672,148,49.68286895751953,91,86.60710906982422,7,103.1467056274414,3,,0
n800_extended_seed123,800,extended,123,50,31.26414155960083,0.16306863725185394,0.21365243196487427,20.51603889465332,955.1365356445312,-0.8347744941711426,-1.3923648595809937,12.79206120967865,12.88080382347107,18.809213876724243,13.38166618347168,667,33.59731674194336,148,45.628116607666016,91,59.96411895751953,7,107.6031723022461,3,,0
n800_extended_seed42,800,extended,42,50,33.70668697357178,0.15334239602088928,0.2106252908706665,20.474241256713867,950.427490234375,-0.018231121823191643,0.9779296517372131,12.842013716697693,12.180092453956604,18.087579131126404,14.084444046020508,667,32.743812561035156,148,41.96990203857422,91,77.32816314697266,7,51.14657974243164,3,,0
n800_extended_seed456,800,extended,456,50,31.954865217208862,0.1509568840265274,0.21117407083511353,20.960906982421875,1038.0931396484375,-1.0867328643798828,-1.6906559467315674,12.237209677696228,12.806698083877563,18.144288301467896,13.059513092041016,667,33.87581253051758,148,51.22234344482422,91,73.42513275146484,7,100.22216796875,3,,0
